name,lat,lon,a_greenland,a_west_antarctic,a_east_antarctic
Newlyn,50.100,-5.550,0.1142,1.1030,1.1001
"Newport, RI",41.500,-71.333,0.3960,1.2187,1.0448
Nome,64.500,-165.417,0.6721,1.1735,1.0986
Norfolk Is.,-29.067,167.950,1.0630,1.0852,1.0465
Nosy-Be,-13.400,48.283,1.1121,1.1874,1.0374
"Noumea, New Caledonia",-22.300,166.433,1.0827,1.1366,1.0977
"Nuku Hiva, Marquesas Is.",-8.933,-140.083,1.1855,1.1478,1.2271
Ny Alesund,78.933,11.950,-1.3084,1.1018,1.1117
Ofunato,39.017,141.750,1.1839,1.1196,1.1891
Padang (Telu Bayuk),-1.000,100.367,1.0944,1.1476,1.0898
"Pago Pago, American Samoa",-14.283,-170.683,1.1488,1.1511,1.1912
Palmeira,16.755,-22.983,0.8760,1.1769,1.1375
"Papeete, Tahiti",-17.533,-149.567,1.1683,1.0880,1.2108
Pascua (Easter) Is.,-27.150,-109.450,1.2289,0.8970,1.2099
Pemba,-12.967,40.483,1.0918,1.1518,1.0199
Pengkalan TLDM Lumut,4.233,100.617,1.0980,1.1163,1.1004
Penrhyn,-8.590,-158.067,1.1767,1.1713,1.2178
"Pensacola, FL",30.400,-87.217,0.7475,1.2148,1.0483
Petropavlovsk-Kamchatsky,52.983,158.650,1.0528,1.1523,1.1706
Pituffik/Thule,76.550,-68.867,-4.4924,1.1494,1.0631
"Pohnpei, Caroline Is.",6.590,158.150,1.2127,1.2215,1.2088
Pointe La Rue,-4.672,55.527,1.1168,1.1851,1.0986
Pointe-Noire,-4.783,11.833,1.0463,1.0871,1.0446
Ponta da Madeira,-2.567,-44.367,1.0331,1.0801,1.0912
"Ponta Delgado, Azores",37.442,-25.403,0.4414,1.1990,1.1320
"Port Blair, Andaman Is.",11.683,92.767,1.1253,1.1033,1.1422
Port Elizabeth,-33.570,25.370,1.1735,1.1216,0.8872
Port Hedland,-20.317,118.567,1.0145,1.1633,0.9663
Port Louis Harbour,-20.150,57.500,1.1465,1.2495,1.0188
Port of Spain,10.650,-61.517,0.9372,1.1668,1.1077
"Port Royal, Kingston",17.933,-76.850,0.9082,1.2289,1.1188
Port Sonara,4.005,9.125,0.9783,1.0629,1.0482
"Port Tuapse, Black Sea",44.100,39.067,0.6747,0.9391,1.0562
Port-au-Prince/Les Cayes,18.567,-72.350,0.8858,1.2276,1.1174
Portland,-38.343,141.613,0.9834,1.0544,0.7979
Porto De Imbituba,-28.230,-48.650,1.2108,0.9050,1.0765
Porto De Macae,-22.385,-41.770,1.1907,0.9851,1.0915
Porto de Rio Grande,-32.100,-52.183,1.2206,0.8428,1.0619
Prince Rupert,54.317,-130.333,0.6552,1.2224,1.0586
"Progreso, Yuc.",21.300,-89.650,0.8990,1.2230,1.0924
Providenya,64.500,-173.183,0.7199,1.1728,1.1148
"Prudhoe Bay, AK",70.400,-148.527,0.3365,1.1759,1.0842
"Pte des Galets, Reunion Is",-20.933,55.300,1.1476,1.2452,1.0113
Puerto Angel,15.650,-96.500,0.9871,1.2142,1.1159
Puerto Deseado,-47.750,-65.917,1.2657,0.4651,0.9728
Puerto Madryn,-42.767,-65.033,1.2390,0.5990,1.0100
Puerto Montt,-41.290,-72.580,1.2265,0.6038,1.0349
Pusan,35.100,129.033,1.1631,1.0704,1.1662
Qaqortoq,60.717,-46.033,-2.6425,1.1854,1.0762
Quarry Bay,22.283,114.217,1.1292,1.0475,1.1302
Quepos,9.400,-84.167,1.0011,1.1757,1.1200
Qui Nhon,13.767,109.217,1.1280,1.0852,1.1307
